電腦系統整合服務業,資訊科技,軟體網路
電腦軟體服務業,資訊科技,軟體網路
網際網路相關業,資訊科技,軟體網路
多媒體相關業,資訊科技,軟體網路
數位內容產業,資訊科技,軟體網路
其它軟體及網路相關業,資訊科技,軟體網路
電信相關業,資訊科技,電信通訊
通訊機械器材相關業,資訊科技,電信通訊
其他電信及通訊相關業,資訊科技,電信通訊
電腦及其週邊設備製造業,資訊科技,電腦週邊
資料儲存媒體製造及複製業,資訊科技,電腦週邊
消費性電子產品製造業,資訊科技,電腦週邊
光電產業,資訊科技,光電光學
光學器材製造業,資訊科技,光電光學
印刷電路板製造業(PCB),資訊科技,電子相關
被動電子元件製造業,資訊科技,電子相關
其他電子零組件相關業,資訊科技,電子相關
IC設計相關業,資訊科技,半導體業
半導體製造業,資訊科技,半導體業
其他半導體相關業,資訊科技,半導體業
菸草製造業,傳產製造,食品飲料
屠宰業,傳產製造,食品飲料
乳品製造業,傳產製造,食品飲料
罐頭食品加工業,傳產製造,食品飲料
糖果點心製造業,傳產製造,食品飲料
食用油品及榖製品製造業,傳產製造,食品飲料
製糖業,傳產製造,食品飲料
調味用品製造業,傳產製造,食品飲料
飲料製造業,傳產製造,食品飲料
其他食品製造業,傳產製造,食品飲料
紡紗業,傳產製造,紡織相關
織布業,傳產製造,紡織相關
不織布業,傳產製造,紡織相關
繩／纜／網／氈／毯製造業,傳產製造,紡織相關
印染整理業,傳產製造,紡織相關
其他紡織業,傳產製造,紡織相關
鞋類製造業,傳產製造,鞋類紡織
紡織成衣業,傳產製造,鞋類紡織
紡織帽製造業,傳產製造,鞋類紡織
服飾品製造業,傳產製造,鞋類紡織
其他紡織製品製造業,傳產製造,鞋類紡織
木竹製品製造業,傳產製造,家具家飾
傢俱及裝設品表面塗裝業,傳產製造,家具家飾
金屬家具及裝設品製造業,傳產製造,家具家飾
非金屬家具及裝設品製造業,傳產製造,家具家飾
紙相關製造業,傳產製造,紙製製造
加工紙製造業,傳產製造,紙製製造
紙容器製造業,傳產製造,紙製製造
其他紙製品製造業,傳產製造,紙製製造
製版業,傳產製造,印刷相關
印刷業,傳產製造,印刷相關
印刷品裝訂及加工業,傳產製造,印刷相關
其他印刷輔助業,傳產製造,印刷相關
化學原料製造業,傳產製造,化學製造
人造纖維製造業,傳產製造,化學製造
合成樹脂／塑膠及橡膠製造業,傳產製造,化學製造
塗料／染料及顏料製造業,傳產製造,化學製造
藥品製造業,傳產製造,化學製造
清潔用品製造業,傳產製造,化學製造
化妝品製造業,傳產製造,化學製造
其他化學相關製造業,傳產製造,化學製造
石油煉製業,傳產製造,石油製造
其他石油及煤製品製造業,傳產製造,石油製造
橡膠製品製造業,傳產製造,橡膠塑膠
塑膠製品製造業,傳產製造,橡膠塑膠
陶瓷製品製造業,傳產製造,非金屬製造
玻璃及玻璃製品製造業,傳產製造,非金屬製造
水泥及水泥製品製造業,傳產製造,非金屬製造
耐火材料製造業,傳產製造,非金屬製造
石材製品製造業,傳產製造,非金屬製造
其他非金屬礦物製品製造業,傳產製造,非金屬製造
鋼鐵基本工業,傳產製造,金屬製造
鋁基本工業,傳產製造,金屬製造
銅基本工業,傳產製造,金屬製造
鎂基本工業,傳產製造,金屬製造
金屬鍛造及粉末冶金業,傳產製造,金屬製造
金屬手工具製造業,傳產製造,金屬製造
金屬結構及建築組件製造業,傳產製造,金屬製造
金屬容器製造業,傳產製造,金屬製造
金屬表面處理及熱處理業,傳產製造,金屬製造
其他金屬相關製造業,傳產製造,金屬製造
自動控制相關業,傳產製造,機械設備
鍋爐及原動機製造修配業,傳產製造,機械設備
農業及園藝機械製造修配業,傳產製造,機械設備
金屬加工用機械製造修配業,傳產製造,機械設備
專用生產機械製造修配業,傳產製造,機械設備
建築及礦業機械設備製造修配業,傳產製造,機械設備
事務機器製造業,傳產製造,機械設備
污染防治設備製造修配業,傳產製造,機械設備
通用機械設備製造修配業,傳產製造,機械設備
其他機械製造修配業,傳產製造,機械設備
電力機械器材製造修配業,傳產製造,電力機械
家用電器製造業,傳產製造,電力機械
照明設備製造業,傳產製造,電力機械
電池製造業,傳產製造,電力機械
其他電力器材製造業,傳產製造,電力機械
船舶及其零件製造修配業,傳產製造,運輸工具
